Property_ID,Arrondissement,Property_Type,Size_sqm,Rooms,Floor,Year_Built,Condition,Distance_to_Center_km,Price_EUR
P10000,4,Apartment,117,4,7,1870,Renovated,2.76,2270802.89
P10001,8,Studio,89,3,3,1953,Good,10.77,1637076.12
P10002,4,Apartment,164,5,5,1979,Needs Renovation,3.14,3220782.59
P10003,2,Apartment,35,1,5,1938,New,4.72,407781.74
P10004,7,Studio,73,2,2,1957,New,7.96,624879.12
P10005,18,Studio,78,1,2,1984,Needs Renovation,2.97,667477.59
P10006,8,Loft,181,2,1,1858,Renovated,0.73,3508979.39
P10007,1,Studio,144,4,6,2021,Needs Renovation,7.68,1568492.01
P10008,11,Penthouse,189,3,3,1899,Good,10.11,3574338.67
P10009,7,Penthouse,16,2,1,1893,New,14.12,236998.46
P10010,3,Loft,28,4,7,1931,New,8.33,239196.37
P10011,12,Penthouse,38,2,8,2006,Renovated,12.13,744156.42
P10012,2,Loft,79,1,7,1978,New,3.38,1567568.82
P10013,13,Apartment,77,3,7,2012,Renovated,11.96,799730.38
P10014,20,Penthouse,137,5,9,1890,Good,13.77,2618838.64
P10015,3,Apartment,86,4,6,2000,Good,10.2,1029486.76
P10016,10,Apartment,51,3,5,1884,Good,7.35,769874.25
P10017,4,Loft,115,3,9,1991,Renovated,7.66,1969883.37
P10018,15,Penthouse,151,2,2,1912,Good,13.49,1254059.46
P10019,12,Penthouse,66,5,4,2000,Good,9.26,930787.99
P10020,9,Apartment,157,3,6,1935,Good,13.27,1638567.35
P10021,18,Studio,184,5,4,1983,Good,7.12,2124759.18
P10022,15,Loft,122,4,9,1941,Renovated,5.67,1585770.56
P10023,18,Studio,143,1,8,1965,Renovated,5.61,2255436.25
P10024,2,Studio,17,3,4,1900,New,4.41,221151.84
P10025,11,Loft,166,3,7,1962,Renovated,1.44,1971820.24
P10026,3,Studio,66,4,1,1980,Renovated,4.86,727411.58
P10027,7,Loft,127,1,1,1979,Needs Renovation,6.46,1422574.27
P10028,15,Studio,101,5,0,1996,Renovated,10.37,1226226.35
P10029,5,Studio,67,4,5,2009,Renovated,9.09,896017.66
P10030,19,Loft,197,3,0,1887,Needs Renovation,5.83,2449863.13
P10031,12,Studio,130,2,0,1973,Good,7.87,2028306.35
P10032,17,Loft,107,3,3,1996,New,10.81,1614706.54
P10033,2,Apartment,161,4,3,2010,Good,6.26,2534473.83
P10034,6,Loft,53,2,8,2000,New,8.35,956783.63
P10035,13,Loft,56,3,9,1961,Needs Renovation,8.55,601585.61
P10036,17,Penthouse,74,1,4,1886,New,13.3,806764.83
P10037,4,Penthouse,23,1,2,1997,Renovated,13.36,280381.84
P10038,4,Penthouse,134,1,0,2013,Needs Renovation,13.53,2104386.89
P10039,6,Loft,98,3,8,1948,New,14.62,1221804.53
P10040,9,Studio,160,2,2,2018,New,3.05,2212378.41
P10041,10,Studio,82,1,3,1977,Good,11.29,1141991.42
P10042,12,Studio,159,1,2,1968,New,4.13,2307166.76
